text	labels
assassin	neg
showed its true hostility	neg
raving	neg
the assassin	neg
these accusations	neg
assassinate' the rights	neg
an affront to palestinian , arab dignity , and international justice	neg
pretends	neg
the rights and privileges that they would automatically get under geneva convention	neg
one of the grossest type of human rights violations	neg
in cages	neg
violators of human rights	neg
the most shameful detentions in the history of post - war incarceration in the 21st century	neg
whose hair is not blondest of the blonde	neg
pot calling the kettle black	neg
according to americans , this sort of humanity does not qualify for any of the laws	neg
non - white anglo - saxon - protestant humanity	neg
criticized	neg
because he is not part of the non - wasp humanity	neg
what is non - wasp humanity	neg
whose eyes are not bluest of the blue	neg
does not qualify for any of the laws	neg
pointing its finger of blame	neg
in chain to another side of the globe	neg
no way defending	neg
non - wasp humanity	neg
the point	neg
like the case of that pot who called the kettle black	neg
has been calling	neg
treating these prisoners like an ostrich	neg
history of crimes against humanity	neg
leaves plenty to be desired	neg
not up to him to decide who is a captive or who is not a captive	neg
will be meaningless	neg
nothing other than	neg
blasts	neg
meaningless	neg
considers	neg
refuses to admit	neg
it is pure rhetoric	neg
have denounced	neg
can only be paradoxical	neg
supposedly model democracy like the usa can trample on the law to such an extent	neg
meaningless	neg
do not enjoy the minimum guarantees	neg
are dangerous terrorists	neg
has refused	neg
clashed violently	neg
branded	neg
see the world in terms of good and evil states	neg
accused	neg
a war criminal	neg
taking care to avoid directly criticizing	neg
because of what they did	neg
unilateralist overdrive	neg
created misery	neg
divergent views	neg
deserve justice and to be treated as war criminals	neg
concern	neg
suffered	neg
unrealistic	neg
has called into question	neg
axis of evil	neg
dangerously absolutist and simplistic stance	neg
has blamed	neg
were at odds	neg
a convenient electoral tool	neg
criticisms	neg
might agree	neg
pinned the tag	neg
rhetorical petards hurled	neg
axis of evil	neg
not a man who likes to improvise	neg
deeper the international crisis , the better	neg
such a bellicose president	neg
share a hatred	neg
rhetorical petards	neg
no master of eloquence	neg
convenient electoral tool	neg
an excuse to pursue another unilateral offensive	neg
to paint a dark picture	neg
the american empire	neg
axis of evil	neg
will surely be on the president's lips	neg
will have trouble wriggling out of the need to explain and justify	neg
sounds clumsy	neg
between civilization and barbarity	neg
evil empire	neg
may even get better	neg
dismissed	neg
blamed	neg
scaring away	neg
is not a good deal	neg
believes	neg
shouted	neg
as if the crowd and people's nerves were already not enough to heat up the atmosphere	neg
shouted	neg
demonstrations against	neg
so there'll be more and more poor people	neg
you ca n't live with this level of hysteria	neg
were in a foul mood	neg
great	neg
did not want to support	neg
this level of hysteria	neg
major uncertainty	neg
increase the palestinians' suffering and encourage the israeli right - wing stands	neg
weaker side	neg
ran out of patience	neg
complete and blind bias toward israel	neg
are known for being negative	neg
rejects	neg
brought the peace process to a deadlock	neg
provocations	neg
subjected to repressive israeli measures	neg
worsening	neg
disapproves	neg
oppressive israeli military campaign	neg
unrealistic stand	neg
israeli right - wing policies	neg
flimsy pretexts	neg
have been deprived of all their national and human rights	neg
wronged	neg
subjugate the palestinian people and liquidate their legitimate rights and aspirations	neg
plunged the palestinians and israelis into an endless cycle of violence	neg
stalemate	neg
criticized	neg
problems	neg
threats	neg
danger they pose	neg
threats	neg
saw	neg
strong criticism	neg
axis of evil	neg
used the word of axis of evil to label	neg
axis of evil	neg
criticism	neg
rhetoric of that kind	neg
wrong	neg
axis of evil	neg
did not agree	neg
israel be harshly condemned	neg
called on	neg
oic - eu front against the united states	neg
should be harshly condemned	neg
disagreements	neg
on the rise	neg
were immediately contested	neg
were only to be expected	neg
warned	neg
heightened concern	neg
the meat was entering the food chain	neg
had always denied	neg
concerns	neg
axis of evil	neg
charges	neg
has likened	neg
taking issue with	neg
axis of evil remark	neg
labeled	neg
rogue	neg
declaration of war	neg
all kinds of provocative activities	neg
has expressed concern	neg
responsible	neg
reflect negatively	neg
have avoided	neg
such israeli infractions	neg
violations	neg
other aggressive acts against lebanon	neg
usually committed	neg
hostility	neg
such animosity	neg
fears	neg
koizumi say 'no' to bush : stick to kyoto protocol	neg
only benefits corporate america	neg
rally	neg
must stop war	neg
out now	neg
are also against	neg
demonstrated	neg
firmly oppose	neg
protest	neg
spurned	neg
is keeping a wary eye	neg
infuriated	neg
making remarks unfavorable	neg
warning	neg
warned	neg
harmed	neg
by force if necessary	neg
failed to defend	neg
warned	neg
was angered	neg
something disadvantageous	neg
are nonetheless concerned	neg
fears	neg
gain the upper hand	neg
took advantage	neg
concerns	neg
did not support	neg
such a mindset will impair	neg
will try its best	neg
concerned	neg
unfavorable	neg
failed	neg
warning	neg
would be harmed	neg
fears	neg
did not support	neg
concerns	neg
took advantage	neg
was angered	neg
keeping a wary eye	neg
infuriated	neg
use the situation to gain the upper hand	neg
criticism	neg
has long had tense relations	neg
mate up with terrorist organizations	neg
could become embarrassing	neg
fear	neg
but not for adventures	neg
horrible attacks	neg
could destroy entire planets	neg
has long accused	neg
such a concept gets us nowhere	neg
feared	neg
sharply criticised	neg
should go	neg
verbal attack	neg
one of the most dangerous places on earth	neg
warned against	neg
axis of evil	neg
is the most bellicose and heinous us president	neg
was only intended to fan up war hysteria	neg
simplistic	neg
we can not allow	neg
they can not be trusted	neg
war freak	neg
may put back by years	neg
we ca n't allow	neg
they are seeking unilaterally to become the masters of the world	neg
has riled	neg
understand	neg
could be sympathisers	neg
it is the united states that is threatening	neg
nations that are n't transparent	neg
has provoked concern	neg
want to sweep aside all competitors from other countries	neg
have hotly denied	neg
angry anti - us protests erupted	neg
axis of evil	neg
any adventure	neg
voiced opposition	neg
accused	neg
the head of an empire of evil	neg
wanting to exercise world dictatorship	neg
a chilly reception	neg
axis of evil	neg
nations with a terrible history	neg
is threatening	neg
nations that are so dictatorial	neg
willing to starve their people	neg
nervous	neg
axis of evil	neg
fear	neg
strong view	neg
axis of evil	neg
to deny	neg
would be difficult because	neg
the biggest concern	neg
the 'axis of evil	neg
to fight against international terrorism	neg
branded	neg
will be forced	neg
will be forced to introduce	neg
eradication	neg
against terrorism	neg
many problems	neg
to tighten the noose around the axis of evil	neg
the axis of evil	neg
evil	neg
axis of evil	neg
hostility to	neg
united states' hostility to islam	neg
axis of evil	neg
axis of evil	neg
remove suspicion	neg
self - destructive	neg
not devoid of slips of the tongue	neg
at the expense	neg
not a successful choice	neg
would not be out of necessity	neg
not viable	neg
collapse from within	neg
longest destructive war	neg
living in isolation	neg
antagonize	neg
extremist inclinations	neg
purposes of intimidation and exaggeration	neg
extremist inclinations	neg
disappoint	neg
expresses the concern	neg
does not desire	neg
designated	neg
assuming a rigid stance against	neg
could be hobbled	neg
axis of evil	neg
will be faced with difficulties	neg
no way	neg
lead to questions	neg
referred to	neg
now requires action rather than mere lip service	neg
axis of evil	neg
can not speak openly	neg
axis of evil	neg
aid for terrorists	neg
names	neg
axis of evil	neg
grimly replied	neg
inhumane	neg
have refused to serve	neg
moribund	neg
unprecedented	neg
do reject	neg
warm peace , not a cold peace	neg
devastating	neg
has lost control	neg
stuck for 18 months on ground zero	neg
badly shaking ( their ) faith in	neg
oppression	neg
certifiably dead	neg
sitting on the fence	neg
some seem doubtful	neg
oppressive	neg
has been very critical	neg
as difficult as it may be	neg
axis of evil	neg
but	neg
sabre - rattling	neg
sabre - rattling	neg
new - found	neg
concern	neg
angered	neg
combative talk	neg
will not reopen talks	neg
rejected	neg
scrupulously avoided	neg
voiced concern	neg
might encourage	neg
repeatedly threatened	neg
tensions between	neg
the major enemy	neg
running rampant	neg
threatened	neg
the united states' biggest enemy	neg
to ignore	neg
which is beyond bush's imagination	neg
are extremely concerned	neg
is greatly responsible	neg
china threat advocates	neg
taiwan independence	neg
it will be difficult	neg
which is getting worse day after day	neg
brings no good to world peace and economic development	neg
dissatisfied	neg
row	neg
strategic competitor	neg
only becoming worse	neg
will not concur	neg
drastically	neg
not satellites	neg
sees	neg
lump	neg
dictatorial regime	neg
not try to change the world by command	neg
as good as decided	neg
unmanageable	neg
axis of evil	neg
reproached	neg
noted critically	neg
are vegetating in a place where they have no rights	neg
no enemy of consequence in sight	neg
depriving them of their rights	neg
quite the contrary	neg
criticizing not	neg
long been denied	neg
evil in politics	neg
bush backtracked	neg
somewhat insane	neg
have not been able to live without	neg
however late	neg
just as soon avoid	neg
inappropriate	neg
admonishing	neg
countries are poor because they want to be	neg
will not be able to change until the end of mankind	neg
narrow	neg
to deny them an appeal before court of law	neg
protests	neg
would have had to resign had he not given in	neg
only half as wild	neg
held	neg
above all fails	neg
in face of the economic and government paralysis	neg
it is not possible to rule out the risk of a breakdown	neg
likely just an aggravating factor	neg
simply do not understand	neg
is concern	neg
made a harsh appraisal	neg
degeneration of the democratic process	neg
is not a sure thing	neg
not safe	neg
are willing to die	neg
has not once	neg
does not want	neg
current spiral of violence	neg
lowly outpost	neg
no israeli government can provide security	neg
avoid the need for it	neg
can not integrate itself	neg
an alien seedling	neg
twisted and distorted	neg
willing to die	neg
a great wall of china in the middle east	neg
has not brought the israeli public security	neg
israel's superior ability to punish palestinians	neg
burden	neg
retaliating	neg
desperate	neg
doggedly	neg
prevent any hope	neg
to deny	neg
deigned	neg
with grim determination	neg
not a normal country	neg
desperate palestinians	neg
persists	neg
not the best of solutions	neg
no longer live by the sword	neg
destroyed	neg
complete with walls and razor wire	neg
are willing to die	neg
near impossible	neg
no place in israel can be considered safe	neg
rapidly absorbing	neg
will not withdraw	neg
continues to demolish	neg
impede the functioning of a multi - party democracy	neg
no justification	neg
responsible for zimbabwe's crisis	neg
lambasted	neg
some are beginning to forget	neg
what is europe	neg
roundly condemned	neg
dismissing	neg
deteriorating	neg
neo - colonial	neg
balkanisation	neg
economic colonialism	neg
neo - colonialism	neg
formulate , implement , or benefit from policies that undermine or injure zimbabwe's democratic institutions	neg
consecrate violence and counter violence	neg
despite the perils	neg
implicitly encouraged	neg
no more than	neg
occupation	neg
campaign of suppression	neg
despite israel's provocations	neg
colonialism	neg
accuses	neg
beleaguered	neg
frail excuses and pretexts	neg
surrounded to the point of strangulation	neg
difficult israeli demands	neg
injured scores	neg
was explicitly embraced	neg
contradicts the efforts to calm down the situation	neg
even against vehicles transporting pregnant women in labor and against unarmed citizens	neg
imposed by military force	neg
bloodbaths	neg
palestinian hand that is stretched for peace	neg
message	neg
provocations	neg
resort to all means to impede the march for peace	neg
slaughter of more than	neg
clear and do not need further clarification or explanation	neg
the arrows	neg
would not accept	neg
reckless	neg
try to threaten national dignity to the end	neg
such remarks	neg
settle scores	neg
axis of evil	neg
will fight	neg
so - called	neg
an axis of evil	neg
vicious remarks that called	neg
will only invite worse criticism and rejection	neg
the number one country in wmd and ballistic missiles sales and concerned technology sales	neg
an axis of evil	neg
anti - bush hot winds	neg
are denouncing	neg
predicament	neg
preposterous	neg
not satisfied	neg
simply a blatant act of the world's worst rogue state to do someone harm	neg
inflicted nuclear disaster on humankind	neg
continue to spew out vicious remarks	neg
strong protest and denunciation	neg
the us imperialist war maniacs' conspiracy	neg
getting strong criticism , denunciation , and rejection	neg
axis of evil	neg
provoked by the fact	neg
spew	neg
perpetrates spiteful conduct of all kinds worldwide	neg
clinging to a new conspiracy	neg
absurd	neg
vicious	neg
indeed the ring leader and empire of evil	neg
worse criticism and rejection	neg
try to threaten	neg
going haywire to dominate the world	neg
in such a complex state	neg
the war maniacs	neg
imperialist war maniacs	neg
absolutely do not go	neg
us imperialist war maniacs	neg
it can not be anything but gangster - like logic	neg
all kinds of vicious conduct	neg
unjust	neg
nonsense	neg
threatens	neg
another diversionary tactic	neg
how accustomed they are to trickery	neg
criticism	neg
the world's biggest exporter	neg
decrying	neg
lashed out	neg
sympathy	neg
warned	neg
accused	neg
attacks	neg
suffered	neg
threatened	neg
bitter deadlock	neg
neo - colonialism	neg
suspend	neg
whether	neg
ballot rigging	neg
thoroughly disgraceful and unacceptable	neg
it's not their ( britain's ) right or responsibility	neg
fraud	neg
oppose	neg
decided	neg
increasingly angry opposition	neg
leading a racist campaign against	neg
why should	neg
accused	neg
railing	neg
no decisive action	neg
severely damaged	neg
calls	neg
reportedly	neg
leading a racist campaign	neg
would be badly damaged	neg
alienation	neg
would not have been a free and fair poll	neg
that's ridiculous	neg
failed to take decisive action	neg
rejecting	neg
has warned	neg
premature	neg
premature	neg
do not like	neg
it will not be free and fair	neg
for punitive action	neg
a real problem	neg
could be damaged	neg
were likely not to be free and fair	neg
indirectly criticised	neg
interfered	neg
impugned by biased reports	neg
denounced	neg
what he called	neg
made such charges	neg
tarnishing the image	neg
repeated his stereotyped allegations against	neg
without having any knowledge of the realities	neg
arrogant	neg
stereotyped allegations	neg
under the strong influence	neg
such biased	neg
biased attitude	neg
human rights violations	neg
spiteful attitude	neg
nothing new	neg
made unfounded charges by accusing	neg
spiteful attitude clearly shows	neg
false image	neg
are only dictated to him	neg
discrimination	neg
downfall of their puppet pahlavi regime	neg
only create mistrust	neg
accuse	neg
expressing concern	neg
attitude	neg
mistrust	neg
only a hireling	neg
human rights violations	neg
human rights violation	neg
anti - iran reports	neg
unfounded charges	neg
lost their illegitimate interests	neg
human rights violations	neg
will not	neg
concern	neg
severe consequences	neg
significant	neg
is likely to produce a negative effect	neg
accusing	neg
to further encourage	neg
committing wrong - doings	neg
to call	neg
groundless plot	neg
rated	neg
intervention of domestic affairs	neg
casting dark clouds	neg
starving its people	neg
is feared	neg
comprehensively blamed	neg
strongly denounced	neg
poor	neg
took issue	neg
axis of evil	neg
resistance against	neg
tense relationship between	neg
countries of special concern	neg
developing weapons of mass destruction	neg
such pessimism	neg
no power	neg
lack of religious freedom	neg
particularly designated	neg
accused	neg
poor human rights conditions	neg
brutal and oppressive rule	neg
harsh	neg
remaining problems	neg
arbitrarily	neg
a problem	neg
not implemented in practice	neg
problems remain	neg
numerous serious abuses	neg
vigorously lobby	neg
remained poor	neg
infringement	neg
but	neg
criticism	neg
how can	neg
unilateral	neg
massacring thousands of innocent people	neg
to express concern	neg
under the excuse of fighting terrorism	neg
another example	neg
under the excuse of fighting terrorism	neg
the top violator of human rights of the last christian year	neg
concern	neg
blame	neg
extensive protest	neg
the same unilateral policy	neg
unilateral policy does not identify any limits for itself	neg
does not care	neg
denied its citizens their legitimate rights	neg
has violated the rights of the minorities	neg
because of its repeated violation	neg
without	neg
a tool to advance america's foreign policy	neg
assumes the right to interfere	neg
in metal cages named detention centres	neg
has accused	neg
refusing to identify	neg
to express openly dissenting political and religious views	neg
distorts	neg
remained poor	neg
filled with repression	neg
turns a blind eye	neg
abuses including torture	neg
unreasonable	neg
points fingers	neg
double standards	neg
condemned	neg
quick to suppress	neg
interference	neg
needed to be wiped out	neg
has rejected	neg
concluded in its scathing 70 , 000 - word report	neg
points fingers	neg
done with ulterior motives	neg
express their deep dissatisfaction and firm opposition	neg
gave poor grades	neg
threat	neg
under the pretext	neg
charged	neg
goes against the facts	neg
repression	neg
unreasonable	neg
warned	neg
criticised	neg
have shown reluctance	neg
slammed by	neg
contravenes	neg
opposed	neg
loud opposition	neg
twists and turns	neg
alleged proliferation of weapons of mass destruction	neg
grim and complicated	neg
accusations	neg
conceded	neg
disagreed	neg
perennially divisive issue of taiwan	neg
roundly criticised	neg
a more serious dip	neg
firmly opposed	neg
disagree	neg
mild and routine criticism	neg
worries	neg
inhumane	neg
is not justified	neg
is not appropriate	neg
although , of course , these super - rigid activities are to a great extent warranted	neg
is accused	neg
no small number of critical shots	neg
particular concern is raised	neg
is accused	neg
it is conducting a war without rules	neg
excessive use of force	neg
beginning a new offensive on religious minorities , persecuting muslims	neg
injudicial shootings	neg
torture	neg
utilizing force in an inappropriate volume	neg
pretext	neg
particularly frequently and unceremoniously	neg
is charged	neg
provocative	neg
denies	neg
suspected	neg
claims	neg
dispute	neg
protests and demonstrations	neg
a row	neg
disputes	neg
restricts	neg
feel	neg
stipulated	neg
not so well sourced	neg
reports sowing the seeds of hatred and malice , or disparaging	neg
allegations of	neg
was repetitive	neg
significant restrictions on citizens' rights	neg
arbitrary arrests	neg
criminalise	neg
repetitive	neg
disparaging	neg
sowing the seeds of hatred and malice	neg
place additional restrictions on freedom of expression and the press	neg
three or four separate references to the same incidents	neg
wrongful	neg
any act of violence or use of threat , regardless of reason and aim	neg
a lack of transparent investigations	neg
expressed concern	neg
incommunicado detentions	neg
alleged	neg
gaffe	neg
gaffe	neg
sneaked into	neg
the modern , 21st - century version of the stars and stripes	neg
it is impossible to expect	neg
axis of evil remark	neg
can not be solved by washington's arbitrary decision	neg
find no grounds for any support	neg
rejection	neg
axis of evil	neg
getting on the nerves	neg
to such policy	neg
empire of evil	neg
injustice	neg
voices criticizing	neg
demonstrations and rallies against	neg
axis of evil	neg
would incur its displeasure	neg
found itself literally in the plight of a punching bag	neg
axis of evil remark	neg
drove the united states into a corner	neg
came forward opposing	neg
expressed concerns	neg
suppression of palestinians	neg
spoke out against	neg
policy of isolation and stifling	neg
axis of evil rhetoric	neg
is even more troubled	neg
such us policy	neg
do not agree	neg
even sent letters of protest	neg
it is inevitable for injustice to meet denunciation and rejection	neg
denunciation and rejection	neg
countless letters , statements , and comments protesting	neg
made nonsensical gaffes	neg
gaffe	neg
unreasonably	neg
strong denunciation	neg
axis of evil rhetoric	neg
one - sided , self - righteous policy	neg
widespread debates against	neg
is insisting	neg
took exception	neg
axis of evil theory	neg
opposes and rejects	neg
anti - us sentiment	neg
undisguised declaration of war and a rhetoric threatening aggression	neg
biggest terrorist country	neg
subsequently	neg
adopted a resolution criticizing	neg
went the length of staging the farce	neg
attacked without hesitation	neg
axis of evil argument	neg
openly embarked on the path of maneuvering for overseas aggression	neg
abandon its one - sidedness	neg
denunciation	neg
bluntly criticize and oppose	neg
took such a concerted stance critical	neg
openly declared	neg
raved	neg
denunciation	neg
can no longer stand shoulder to shoulder	neg
repeatedly trumpeted	neg
axis of evil argument	neg
oppose	neg
linking	neg
in a flurry	neg
must not use double standards	neg
axis of evil	neg
gaffe	neg
him in so ferocious an image wearing a t - shirt and jogging pants bearing some english letters , baring his teeth and with a glare of hatred in his eyes	neg
under fire	neg
sent a letter of protest	neg
rejection	neg
are gunning down innocent people on daily basis	neg
desperate means	neg
pretence of a vicious war	neg
waning grip on power	neg
achieving nothing	neg
succumbed under the mighty stranglehold	neg
radicalize the palestinians even further	neg
are bent on destroying	neg
a brutal occupation	neg
would beg for surrender	neg
in death rather than staying alive under occupation	neg
continuing waste of human life	neg
puts every jew and every israeli to shame	neg
breaking their limbs	neg
chaos bordering on a binge of wanton killing	neg
shooting unarmed civilian demonstrators in cold blood	neg
blind and murderous rage	neg
one - sided war	neg
would want	neg
his aggression	neg
the blind and murderous rage of a defeated colonial power	neg
revolted	neg
have made every israeli an enemy and a target	neg
judging from	neg
palestinians are bent on destroying	neg
reality that is much worse than war	neg
has floundered	neg
it is a war out there	neg
would beg for surrender	neg
by applying the pressure cooker effect	neg
fattening	neg
made the investigation more difficult	neg
shortcomings	neg
affected by the lackluster economy	neg
would be a great tragedy	neg
was condemned	neg
to determine the outcome of an african election in europe	neg
can not be considered as substantially free and fair	neg
power at all costs	neg
would have enormous implications	neg
for months	neg
stolen	neg
flawed	neg
systematic campaign of violence and intimidation	neg
condemned	neg
psychology of maintaining us supremacy	neg
negated	neg
has never tried	neg
completely ignored	neg
total benefit of that has been earned by the united states	neg
blindly accepting	neg
horrifying act of oppression	neg
its selfishness	neg
not only earned a bad name	neg
aggression and terrorism	neg
including their respect and sanctity	neg
as a lesson to others	neg
artificial	neg
protested against	neg
loathsome action	neg
most dreadful events in history	neg
condemned	neg
manifold	neg
were blown up by ammunition	neg
double standards	neg
number one country	neg
damaging solidarity	neg
dictatorial	neg
oppression and supremacy	neg
violating human rights	neg
racial prejudice	neg
inhuman	neg
put all the blame	neg
no one	neg
anti - soviet hysteria	neg
are being kept in cages	neg
axis of evil	neg
engulfed by violence and crime	neg
us supremacy	neg
had planned	neg
should be viewed in its true perspective	neg
being blamed	neg
has to be maintained at any cost	neg
dominating the world	neg
subjugate	neg
alarming	neg
it is due to this hegemony	neg
axis of evil	neg
no protection	neg
threat to its security	neg
shameful silence	neg
any moral values	neg
serious criticism was made	neg
axis of evil	neg
simplistic	neg
cold war heritage	neg
more ineffective	neg
axis of evil	neg
issued a statement denouncing	neg
could cause great misfortune	neg
are not sympathetic	neg
axis of evil	neg
evaluated	neg
arbitrarily	neg
poses a new threat	neg
opposition	neg
publicly designating	neg
axis of evil dogma	neg
own exclusive interests	neg
caustically criticized	neg
trying to inflict	neg
would not accept	neg
astonished	neg
axis of evil dogma	neg
threat	neg
futile	neg
cold war labeling	neg
showdown	neg
is taking the risk	neg
the branding	neg
unilateral	neg
impossible	neg
axis of evil theory	neg
despotic	neg
very simplistic	neg
could not be	neg
axis of evil	neg
criticism	neg
expressed a stance	neg
axis of evil remarks	neg
allies are not satellites , 	neg
remarks branding	neg
axis of evil	neg
confronting itself	neg
disdaining	neg
remarks calling	neg
anti - terror	neg
can not wholly agree with	neg
infringes	neg
enemies of mankind	neg
very rash	neg
axis of evil remark	neg
concern	neg
threatening	neg
acting arbitrarily	neg
so - called axis of evil remark	neg
groundless	neg
axis of evil	neg
dogma	neg
is being criticized	neg
condemnation	neg
intends to	neg
grave clashes	neg
axis of evil	neg
simplistic	neg
thought	neg
blamed	neg
deals a blow	neg
for months	neg
worry	neg
accused	neg
thousands	neg
sanctions message	neg
foolhardy	neg
with their own agenda against	neg
marred	neg
has not satisfied	neg
systematically stealing	neg
dismissed	neg
when its head is the queen	neg
neither free nor fair	neg
concerned	neg
vanquished	neg
deeply flawed	neg
intimidation	neg
overwhelming evidence	neg
agenda against	neg
also too much interference	neg
decisions not to accept	neg
dirty tricks	neg
feared	neg
disenfranchised	neg
does not reflect	neg
enemy	neg
does not look very good	neg
sustained government - orchestrated campaign of intimidation and violence	neg
stolen	neg
transmit	neg
failing to be free and fair	neg
exploited	neg
openly denounce	neg
systematically subverted	neg
put into power their puppets	neg
acted in collusion	neg
threat	neg
failed	neg
for more than two years	neg
never	neg
systematic campaign of violence and intimidation	neg
systematically subverted democracy	neg
illegitimate	neg
sharp divisions	neg
numerous and profound irregularities	neg
quick to say	neg
reliance	neg
sharp divisions	neg
could not be said	neg
expected	neg
designed to achieve an outcome - power at all costs	neg
declined	neg
have criticised	neg
negative reports	neg
have been critical of	neg
chaotic	neg
because one can do it even with eyes closed	neg
prejudged	neg
were critical of	neg
since one would have been paid to do so	neg
a view to the contrary	neg
paint a bad picture	neg
undemocratically	neg
did not adequately	neg
was unable to explain	neg
apparent contradiction	neg
should be penalised	neg
discrediting	neg
stopped short of being free and fair	neg
declined	neg
not adequately free and fair	neg
disapproval	neg
one body with two heads	neg
attacking him with scathing criticisms	neg
are scheming	neg
victimizing the lives	neg
israeli aggressors	neg
unwilling	neg
continue to key up tensions	neg
continue to obstruct	neg
refuses	neg
not a single day would pass in peace and with no palestinians shedding blood	neg
deprived arab land	neg
israel is a spoiled brat of the united states	neg
billions of dollars in lethal weapons every year	neg
nevertheless	neg
wily israeli aggressors	neg
israel is one of the us states	neg
continue to obstruct	neg
aggressors	neg
aggression and savage atrocities	neg
are getting increasingly critical	neg
quit its moves to obstruct a fair middle east settlement	neg
hard - line	neg
poking fun	neg
occupy illegally	neg
criticisms	neg
stir up troubles	neg
incursions and atrocities of oppression israel is perpetrating	neg
israeli aggressors	neg
shameful electoral sham	neg
spirited away	neg
is merely to entertain	neg
be reproached	neg
was compromised	neg
even congratulated	neg
only served to deny	neg
absence of democracy	neg
as good as his word	neg
too late	neg
condemned	neg
the victim of state terrorism	neg
ban on holidays and a golden retirement	neg
indignant protests	neg
the familiar psychodrama	neg
loaded against him from start to finish	neg
nothing was done to prevent the disaster awaiting	neg
observers	neg
electoral hijacking	neg
thanks to	neg
proved ineffective	neg
was harassed	neg
was going to be a war	neg
no longer any more of a problem for europe than the lack of development	neg
fait accompli	neg
could range from collective disapproval to suspension	neg
collective disapproval	neg
did not conform	neg
did not adequately allow the free and fair expression of will	neg
illegal	neg
polarisation , tension and incidents of violence and intimidation	neg
killed and injured thousands of innocent afghans	neg
covert motive	neg
in the guise of its so - called war on terror	neg
maltreated	neg
double standard policy	neg
are the violators of human rights	neg
human rights violators	neg
has no right	neg
always follows its interests	neg
showered upon favours	neg
such a report	neg
thousands of innocent people	neg
unjust and discriminatory policies	neg
denounces	neg
has rejected	neg
dictation from the us	neg
almost all parts of the globe	neg
it is itself the violator of human rights	neg
so - called war against terrorism	neg
for perishing	neg
criticized	neg
supremacy	neg
stirring up the emotive land issue merely to garner support	neg
stiff opposition	neg
neocolonial attempt	neg
had accused	neg
threatened	neg
rejected	neg
compliant	neg
hostile international attention	neg
were disenfranchised	neg
rigging	neg
trying to re - assert neocolonial rule	neg
have joined the opposition in alleging	neg
was neither free nor fair	neg
in spite of	neg
denied	neg
badly battered	neg
repeatedly accused	neg
was boycotted	neg
has not been accepted	neg
have no intention	neg
called	neg
rejecting	neg
plotting to bring down each other	neg
rigged the poll in favor of	neg
claiming	neg
stand - off	neg
fears	neg
threatened	neg
warned	neg
the threats	neg
were still concerned	neg
without belt - tightening there is no money , and without money there is no belt - tightening	neg
apparently not	neg
chile is not iraq , nor is lagos saddam , fortunately , of course	neg
almost grotesquely	neg
astounded	neg
are not guessing correctly about the dilemma of the chicken or the egg into which the argentine crisis has become converted	neg
the crisis is in a bind	neg
everyone pays dearly for his mistakes , and somehow manages as best he can	neg
so as to avoid the repetition of a crisis such as ours	neg
inevitably succumb	neg
is , day by day , becoming somewhat weak	neg
observed ironically	neg
to the detriment of brazil	neg
to destroy buildings , facilities , infrastructure , roads , water pipes , and electricity and telephone poles	neg
can not make more concessions	neg
renunciation of its mentality of domination and expansion , which have caused calamities and catastrophes in the past five decades	neg
cycle of violence	neg
assassinate innocent activists and citizens	neg
without trying to maneuver , place obstacles , or set impossible conditions	neg
will find it difficult to attain	neg
to carry out other retaliatory , suppressive , and devastating practices	neg
to assassinate innocent activists and citizens	neg
to attack palestinian ambulances and kill medical teams	neg
to intimidate women and children	neg
end of its colonialist occupation	neg
second side in the us axis is israel	neg
in a way that threatens	neg
in admirable harmony	neg
the axis of evil	neg
the serious crisis	neg
would be convicted	neg
in the axis of evil	neg
has put himself into	neg
fake imposter	neg
to threaten the stability and security of the world	neg
violates the united nations charter	neg
had become one of the sides of the axis of evil	neg
in case us national security was threatened	neg
definitely the third side will go to no one but britain	neg
her former friend as an enemy and her former enemy as a friend	neg
insincerely	neg
rope in	neg
lack of sincerity	neg
interfering	neg
seriously	neg
enemy	neg
entirely run counter to the aspirations	neg
held	neg
gone farther and farther	neg
showed a lack of sincerity	neg
retrogression	neg
meddling	neg
confounding right and wrong	neg
limits of tolerance	neg
kind to the enemy and hard on friends	neg
designed to benefit mugabe	neg
a halfway house	neg
marred	neg
one - sided	neg
to defer or reject	neg
suspect electoral practices	neg
can only lead to bad decisions	neg
damning report	neg
immediately blasted	neg
intimidation	neg
have condemned	neg
are not going to allow	neg
decided	neg
refusal to accept	neg
appeared it had been done reluctantly	neg
concluded	neg
opinionated	neg
taking action against	neg
had been marred	neg
fraudulent	neg
bad	neg
defiant stance	neg
slapping	neg
denouncing	neg
conclusion also reached	neg
have also aggravated	neg
lacks credibility and can not withstand any objective scrutiny	neg
as have	neg
failed to reach agreement	neg
had disagreed	neg
not free and fair	neg
had nothing to do	neg
not free and fair	neg
believed	neg
nobody can feel free	neg
not in line with international standards	neg
not free and fair	neg
were treated with suspicion	neg
not free and fair	neg
was uncomfortable	neg
could , however , not be openly described as free and fair	neg
twenties , thirties and fifties	neg
fear and tension	neg
there was a lot of fear and tension	neg
aligned themselves	neg
were characterised by - - among others - - intimidation	neg
echoed	neg
did not conform to international standards	neg
had not met sadc's norms and standards	neg
sentiments	neg
final straw	neg
decision to condemn	neg
negative position	neg
simply to rubber stamp	neg
pro - opposition	neg
vented her anger	neg
dispute	neg
raise questions	neg
troublemakers	neg
